apt_name,trade_price,jeonse_price,gap_man,gap_ratio,region_code,region_name
성지,83000.0,50000.0,33000.0,0.3976,11440,서울마포구
세양청마루,122000.0,57000.0,65000.0,0.5328,11440,서울마포구
세원,56500.0,40000.0,16500.0,0.292,11440,서울마포구
솔리스타,16100.0,15000.0,1100.0,0.0683,11440,서울마포구
신공덕1차삼성래미안1아파트,210000.0,83175.0,126825.0,0.6039,11440,서울마포구
신공덕래미안2차,161750.0,62250.0,99500.0,0.6151,11440,서울마포구
신공덕래미안3차,165000.0,71100.0,93900.0,0.5691,11440,서울마포구
신촌금호,130000.0,60000.0,70000.0,0.5385,11440,서울마포구
신촌숲아이파크,222500.0,101175.0,121325.0,0.5453,11440,서울마포구
신촌태영데시앙,155250.0,67666.66666666667,87583.33333333333,0.5641,11440,서울마포구
우성,171083.33333333334,58416.166666666664,112667.16666666669,0.6586,11440,서울마포구
월드컵아이파크(667),112500.0,74000.0,38500.0,0.3422,11440,서울마포구
이편한세상마포리버파크,240000.0,112500.0,127500.0,0.5312,11440,서울마포구
중앙하이츠,145833.33333333334,63000.0,82833.33333333334,0.568,11440,서울마포구
창전동현대홈타운,107866.66666666667,76333.33333333333,31533.333333333343,0.2923,11440,서울마포구
창전래미안,149300.0,70166.66666666667,79133.33333333333,0.53,11440,서울마포구
코오롱,127000.0,68800.0,58200.0,0.4583,11440,서울마포구
탑건진선미,100000.0,63000.0,37000.0,0.37,11440,서울마포구
한강그린1차아파트,57750.0,40700.0,17050.0,0.2952,11440,서울마포구
한강밤섬자이,285000.0,147500.0,137500.0,0.4825,11440,서울마포구
한강삼성,175000.0,66952.5,108047.5,0.6174,11440,서울마포구
한화오벨리스크,87642.85714285714,64000.0,23642.857142857145,0.2698,11440,서울마포구
함성월드빌2차,93000.0,64000.0,29000.0,0.3118,11440,서울마포구
현대,105000.0,62525.0,42475.0,0.4045,11440,서울마포구
현대홈타운,176250.0,66023.07692307692,110226.92307692308,0.6254,11440,서울마포구
G&P용산파크,43500.0,32707.0,10793.0,0.2481,11170,서울용산구
GS자이,292000.0,30000.0,262000.0,0.8973,11170,서울용산구
강변,135000.0,20000.0,115000.0,0.8519,11170,서울용산구
강변삼성스위트,210000.0,65166.666666666664,144833.33333333334,0.6897,11170,서울용산구
